Frase,Ação,Id do Elemento,Sentimento
aqui uma ordem de venda em banco do brasil preciso vender 250.000 mais ou,banco do brasil,0,negativo
"eu estou vendendo aqui 9.000 banco do brasil a 28,15 e vvb 65",banco do brasil,0,negativo
14 papeis fotos magalu petrobras ccr rodovias via varejo raia drogasil vale equatorial rap vida bradesco,CCR,0,neutro
via varejo raia drogasil vale equatorial rap vida bradesco itau ambev eco rodovias e cpf aqui,Equatorial,0,neutro
drogasil vale equatorial rap vida bradesco itau ambev eco rodovias e cpf aqui nos temos a,Bradesco,0,neutro
equatorial rap vida bradesco itau ambev eco rodovias e cpf aqui nos temos a movimentacao diaria,Ambev,0,neutro
meses 25% e a correrias hapvida 19 equatorial 15 e parte da carteira cinco papeis os,Hapvida,0,neutro
e a correrias hapvida 19 equatorial 15 e parte da carteira cinco papeis os 14 com,Equatorial,0,neutro
entrar na carteira setor eletrico copasa b3 que foi a ultima posicao adicionada sanepar bradesco klabin,Copasa,0,positivo
na carteira setor eletrico copasa b3 que foi a ultima posicao adicionada sanepar bradesco klabin e,B3,0,positivo
foi a ultima posicao adicionada sanepar bradesco klabin e banco abc agrupando por categorias eu vou,Sanepar,0,positivo
a ultima posicao adicionada sanepar bradesco klabin e banco abc agrupando por categorias eu vou sair,Bradesco,0,neutro
ultima posicao adicionada sanepar bradesco klabin e banco abc agrupando por categorias eu vou sair dessa,Klabin,0,neutro
aquele ta juntando bancos com b3 tem utilidade publica que e a parte de energia e,B3,0,neutro
e materiais basicos que seria klabin com 15.1 ou seja ainda uma carteira muito concentrada em,Klabin,0,neutro
"mais subiu quase 30% depois sanepar copasa bradesco subindo 13.69 banco abc subindo 9,44 transmissao paulista",Sanepar,0,positivo
"subiu quase 30% depois sanepar copasa bradesco subindo 13.69 banco abc subindo 9,44 transmissao paulista 3,77",Copasa,0,positivo
"quase 30% depois sanepar copasa bradesco subindo 13.69 banco abc subindo 9,44 transmissao paulista 3,77 e",Bradesco,0,positivo
"9,44 transmissao paulista 3,77 e b3 que foi de uma posicao que entrou na carteira ta",B3,0,positivo
dando os pontos principais o bradesco segundo a uma banco privado do pais e maior posicao,Bradesco,0,positivo
a projecao de lucro de bradesco para 2023 ela fica em torno de 20 bilhoes e,Bradesco,0,positivo
ja disse quando eu coloquei bradesco na carteira eu nao esperava ter a chance de colocar,Bradesco,0,positivo
que ta acontecendo com o bradesco por conta de inadimplencia e ja pensando que o pior,Bradesco,0,neutro
inadimplencia eu vou comprar mais bradesco nesse video porque eu acho uma posicao boa principalmente nos,Bradesco,0,positivo
agora que o proximo papel copasa copasa teve um lucro liquido de 249.3 milhoes isso e,Copasa,0,positivo
que o proximo papel copasa copasa teve um lucro liquido de 249.3 milhoes isso e uma,Copasa,0,positivo
"ver mais a frente porque copasa ela tem uma divida liquida de 3,3 bilhoes de reais",Copasa,0,negativo
na tela dos indicadores da copasa retirados do my profit vejam que ela negocia um preco,Copasa,0,positivo
entao tambem vou comprar mais copasa terceiro resultado de klabin o lucro liquido veio estavel em,Copasa,0,positivo
mais copasa terceiro resultado de klabin o lucro liquido veio estavel em 971 milhoes de reais,Klabin,0,positivo
eu tava em duvida entre klabin e suzano que e uma outra empresa tambem esse perfil,Klabin,0,neutro
voltada para exportacao enquanto o klabin ela pode escolher se ela vai comercializar mais com o,Klabin,0,neutro
ao real a receita da klabin tambem foi afetada ficando em 4.29 bilhoes 15% a menos,Klabin,0,negativo
na parte da sua divida klabin tem uma divida ali que tem 19.5 bilhoes o que,Klabin,0,negativo
nao seria um problema para klabin sem falar que a posicao encaixa dela apaga 44 meses,Klabin,0,neutro
menor despesas de divida para klabin colocando print com os indicadores de klab na tela veja,Klabin,0,positivo
ter atencao em relacao a klabin e que pelo preco falou patrimonio voce pode falar poxa,Klabin,0,neutro
em relacao ao valor patrimonial klabin e uma empresa centenaria entao vai ter la no seu,Klabin,0,neutro
melhor metrica para voce analisar klabin e novamente eu vou aproveitar para comprar agora apos o,Klabin,0,positivo
empresa e por exemplo uma b3 que e uma outra beneficiada por queda de juros que,B3,0,positivo
ct tem a questao da b3 posicao cacula aqui na carteira nesse momento e a unica,B3,0,neutro
positivo eu sou cliente da b3 e 20 anos e devo continuar sendo cliente pelas proximas,B3,0,positivo
fiz sem ganhar nada da b3 voce foi la e comprou um titulo publico igual a,B3,0,neutro
ganha aquela taxa e a b3 ou talvez voce tenha visto um video de fundo imobiliario,B3,0,neutro
e a bolsa e a b3 ou talvez voce esteja comprando acoes que nem o que,B3,0,neutro
bolsa que temos no brasil b3 e ai quando voce compra fundo imobiliario e acoes talvez,B3,0,neutro
de liquidacao isso vai para b3 e como que voce virou cliente da b3 por acaso,B3,0,neutro
que voce virou cliente da b3 por acaso voce viu um anuncio da b3 e falou,B3,0,neutro
voce viu um anuncio da b3 e falou meu deus vou investir provavelmente nao voce deve,B3,0,neutro
ganha com isso e a b3 e pode vir a ganhar muito mais se os juros,B3,0,positivo
colocar na tela da propria b3 eles comparam o nosso mercado com india china estados unidos,B3,0,neutro
e se tornando cliente da b3 veja que e uma expansao de quase 50% da base,B3,0,positivo
pega o dr e da b3 veja o que aconteceu com o lucro da empresa nesse,B3,0,neutro
eu citei os do resultado bradesco copasa klabin e transmissao paulista o quanto eu vou comprar,Bradesco,0,positivo
citei os do resultado bradesco copasa klabin e transmissao paulista o quanto eu vou comprar mais,Copasa,0,positivo
os do resultado bradesco copasa klabin e transmissao paulista o quanto eu vou comprar mais ou,Klabin,0,positivo
tem aqui a posicao de bradesco ordinaria que e que eu tenho na carteira entao vou,Bradesco,0,neutro
pouco menos mil ja que bradesco e uma posicao que eu tenho na carteira preenche essa,Bradesco,0,neutro
ta tudo certo pronto ordem bradesco aberta agora vamos klabin vou deixar a ordem a 23,Bradesco,0,positivo
ordem bradesco aberta agora vamos klabin vou deixar a ordem a 23 e 24 o preco,Klabin,0,positivo
aberta chegou a vez de copasa 800 papeis em copasa ordem dada e por ultimo transmissao,Copasa,0,positivo
de copasa 800 papeis em copasa ordem dada e por ultimo transmissao paulista 4 coloco 25/58,Copasa,0,positivo
pagou r 36.0 676 51 banco do brasil tambem a posicao grande que,banco do brasil,1,positivo
para as minhas principais posicoes banco do brasil minha maior posicao depois de,banco do brasil,1,positivo
esse mes 500 123.000 de banco do brasil ta nao deu para gravar,banco do brasil,1,neutro
bradesco depois klabin transmissao paulista copasa sanepar banco abc e b3 a cacula da carteira ou,Copasa,1,positivo
depois klabin transmissao paulista copasa sanepar banco abc e b3 a cacula da carteira ou seja,Sanepar,1,neutro
copasa sanepar banco abc e b3 a cacula da carteira ou seja estamos basicamente alocados em,B3,1,neutro
estamos basicamente alocados em banco b3 queria setor financeiro ainda mais diferente de banco saneamento energia,B3,1,neutro
empresa de commodis que a klabin tirando b3 o perfil da carteira e pagar bons dividendos,Klabin,1,positivo
commodis que a klabin tirando b3 o perfil da carteira e pagar bons dividendos lembrando que,B3,1,neutro
eu comprei mil acoes de bradesco 800 acoes de copasa comprei 600 de klabins 600 de,Bradesco,1,positivo
de bradesco 800 acoes de copasa comprei 600 de klabins 600 de transmissao paulista e nesse,Copasa,1,positivo
gente me pergunta poxa porque bradesco e nao por exemplo itau ne que tem numeros muito,Bradesco,1,neutro
que eu que nunca tive bradesco na carteira pelo menos nao nos ultimos anos nao lembro,Bradesco,1,neutro
jornada como investidor resolver comprar bradesco porque eu achava que estava muito barato e recentemente o,Bradesco,1,positivo
proprio hard max comecou a bradesco como voces podem ver aqui na tela e por que,Bradesco,1,neutro
algum fundo especifico mas e bradesco e eu divulgo isso porque esse cara ele e conhecido,Bradesco,1,neutro
"de compensacao de prejuizos principalmente b3 ne e uma prejuizo que eu tenho aqui menos 14,6%",B3,1,neutro
"em banco abc 3,48 em bradesco 15% em copasa 15% em klabin e 38% em sanepar",Bradesco,1,positivo
"3,48 em bradesco 15% em copasa 15% em klabin e 38% em sanepar inclusive se pegamos",Copasa,1,positivo
15% em copasa 15% em klabin e 38% em sanepar inclusive se pegamos a variacao dessas,Klabin,1,positivo
em klabin e 38% em sanepar inclusive se pegamos a variacao dessas acoes no mes como,Sanepar,1,negativo
caiu inclusive uma queda grande b3 ne e eu peguei praticamente toda essa queda foi a,B3,1,negativo
"carteira o que subiu foi klabin que subiu bem pouquinho e sanepar subiu 8,21 por cento",Klabin,1,positivo
"que subiu bem pouquinho e sanepar subiu 8,21 por cento porque dessa subida tao grande sanepar",Sanepar,1,positivo
porque dessa subida tao grande sanepar eu acredito que algum tipo de otimismo com uma possivel,Sanepar,1,positivo
curiosidade esse pequenininho aqui e bradesco ela paga dividendos ou juros sobre capital proprio se eu,Bradesco,1,neutro
algumas por problemas caso de bradesco a rentabilidade que eles tem la sobre patrimonio ta realmente,Bradesco,1,negativo
a comprar barato aqui foi b3 e aparentemente foi uma excecao que ta me dando uma,B3,1,positivo
menor ficando atras somente de b3 sendo que b3 ficou menor porque caiu 12%. entao abc,B3,1,negativo
somente de b3 sendo que b3 ficou menor porque caiu 12%. entao abc seria menor e,B3,1,negativo
que isso temos dois dispositivos klabin e sanepar o restante ta negativo inclusive com uma queda,Klabin,1,positivo
temos dois dispositivos klabin e sanepar o restante ta negativo inclusive com uma queda bem interessante,Sanepar,1,positivo
queda bem interessante aqui de copasa caindo quase 3% no dia mas essa movimentacao diaria ela,Copasa,1,negativo
sendo que da carteira praticamente b3 e aquela que nao paga bons dividendos o restante tem,B3,1,negativo
comprei e o caso de bradesco um momento ai no preco de 12:47 ta a diferenca,Bradesco,1,negativo
nao aparecem aqui na tela bradesco ontem inclusive que e o mais de 4%. se a,Bradesco,1,neutro
novos a serem inclu e b3 que foi a ultima inclusao esta caindo 16% puxando a,B3,1,negativo
que vale a pena vender b3 entao por conta disso na verdade nao eu estou fazendo,B3,1,neutro
porque eu pretendo comprar mais bradesco mais de transmissao paulista e mais de b3 porque afinal,Bradesco,1,positivo
transmissao paulista e mais de b3 porque afinal de contas em termos de performance ficaram para,B3,1,neutro
uma passada rapida nos indicadores b3 isso e mais discutivel mas eu tambem entendo que b3,B3,1,neutro
mas eu tambem entendo que b3 ela e uma acao que voce pode pagar mais caro,B3,1,neutro
olhando o proximo nome aqui bradesco que atualmente a maior posicao que eu tenho na carteira,Bradesco,1,positivo
que eu tenho na carteira bradesco em 12 meses esta caindo quase 20% no mes caindo,Bradesco,1,negativo
grande aumento de inadimplencia em bradesco se eu comparo bradesco com outros bancos inclusive eu fiz,Bradesco,1,negativo
em bradesco se eu comparo bradesco com outros bancos inclusive eu fiz um video ha pouco,Bradesco,1,neutro
itau e muito superior a bradesco tem varias metricas inclusive eu a vida toda tive itau,Bradesco,1,negativo
portfolio e troquei recentemente por bradesco porque eu entendo que isso aqui tende a ser temporario,Bradesco,1,positivo
temporario daqui a pouco o bradesco vai caminhar para uma margem mais alta para uma rentabilidade,Bradesco,1,positivo
de comprar um banco com bradesco abaixo do seu valor patrimonial sendo que todo patrimonio do,Bradesco,1,neutro
da media entao to comprando bradesco eu acredito que ele vai retornar para a media e,Bradesco,1,positivo
voces por exemplo olhem pra bradesco que faz nao isso ai nao vale a pena nao,Bradesco,1,neutro
de ideia depois que o bradesco estiver subindo mais e olhando aqui o ultimo desses tres,Bradesco,1,neutro
"o ultimo desses tres nomes b3 hoje ta caindo mais 1,19 ontem tinha caido algo na",B3,1,neutro
desses dois dias veja que b3 ela nao e um apagador dividendos tao boa quanto outros,B3,1,negativo
nao da para falar que b3 e uma empresa barata so que tambem e uma empresa,B3,1,neutro
investidores chegando ne imagina uma b3 com 8 milhoes de investidores ao inves de 5 com,B3,1,neutro
voce vir a cliente da b3 sobretudo se voce procura educacao financeira de fato voce vai,B3,1,neutro
por exemplo sou cliente da b3 desde que tenham 17 anos inclusive hoje eu posso falar,B3,1,neutro
falar que eu trabalho pra b3 de graca porque todos voces que vem um video compra,B3,1,neutro
do tesouro direto vai pra b3 voces viram um cliente da b3 atraves do meu trabalho,B3,1,neutro
