Frase,Ação,Id do Elemento,Sentimento
aqui uma ordem de venda em banco do brasil preciso vender 250.000 mais ou,banco do brasil,0,negativo
"eu estou vendendo aqui 9.000 banco do brasil a 28,15 e vvb 65",banco do brasil,0,negativo
brasil ficava do lado da b3 por que porque as corretoras colocavam seu servidor la para,B3,0,neutro
o mais proximo ali da b3 iria executar antes e do cara caramba isso isso acho,B3,0,neutro
pagou r 36.0 676 51 banco do brasil tambem a posicao grande que,banco do brasil,1,positivo
para as minhas principais posicoes banco do brasil minha maior posicao depois de,banco do brasil,1,positivo
esse mes 500 123.000 de banco do brasil ta nao deu para gravar,banco do brasil,1,neutro
vendi esse mes 523.000 de banco do brasil ta nao deu para gravar,banco do brasil,2,negativo
que que eu vend de banco do brasil nao tem motivo no sentido,banco do brasil,2,negativo
80% fora os dividendos de banco do brasil voce vai buscar argumentos nao,banco do brasil,2,neutro
capitalizacao voce faz isso numa petrobras thago pode colocar 1 milhao ali que nao vai movimentado,Petrobras,3,positivo
aprofundar um pouquinho aqui em banco do brasil antes da gente fazer um ,banco do brasil,4,neutro
uma das minhas maiores pocas banco do brasil o vou entrar aqui em,banco do brasil,4,positivo
um dos resultados e sobre banco do brasil o lucro liquido ajustado foi,banco do brasil,4,positivo
certeza nao tava olhando ate bradesco bradesco tambem ta negociando a a 067 do valor patrimonial,Bradesco,5,neutro
e muito diferente ne ja banco do brasil nossa queridinha acoes ten 1.8 milhao,banco do brasil,5,positivo
acoes ten 1.8 milhao em banco do brasil a minha maior posicao de acoes,banco do brasil,5,positivo
eu receba algum dividende do banco do brasil e uso para reinvestir petrobras,banco do brasil,5,positivo
nao tava olhando ate bradesco bradesco tambem ta negociando a a 067 do valor patrimonial tudo,Bradesco,5,neutro
eu gosto ha bastante tempo sanepar a unit e a empresa estat de coleta de esgoto,Sanepar,5,positivo
uso nao eu vendi comprei bradesco e fiz um movimento ruim quando eu fiz isso porque,Bradesco,5,positivo
o capital agora entao o banco do brasil cielo e bradesco vao fechar dear,banco do brasil,6,neutro
da b3 depois dessa noticia banco do brasil subiu seis bradesco subiu nove,banco do brasil,6,positivo
ter comprado cielo ne mas banco do brasil e controlador de cielo entao,banco do brasil,6,positivo
ter itau banco do brasil petrobras pagando dolar mais 6 pagando dolar mais 7 ai que,Petrobras,6,positivo
tem bastante acao de xp banco do brasil tambem entao a gente recebeu,banco do brasil,7,positivo
com muita acao tem o banco do brasil poxa aqui e uma empresa,banco do brasil,7,positivo
posicao na carteira cai 1.8% banco do brasil subiu 0.8 xp subiu 5.6%,banco do brasil,7,positivo
pega banco brasil caixa itau bradesco santander risco muito baixo entao eu nao pr uma pressa,Bradesco,7,neutro
camala entrou no lugar dele petrobras aumentou o preco da gasolina de 7.1% reajuste relevante e,Petrobras,8,negativo
em termos de proventos ne semig pagou r 36.0 676 51 banco do brasil tambem a,semig,8,positivo
tambem ficou um pouquinho atras semig ai tem os fundos imobiliarios de sempre ne a lzr,semig,8,neutro
brasil quanto um pouco de semig um pouquinho de rizer que era o meu maior fundo,semig,8,neutro
antes sofre um pouco menos petrobras surpreendeu o mercado tem um prejuizo de 2.6 bilhoes no,Petrobras,9,negativo
do brasil 970 7.000 eh semig tem 855.000 tauros armas eu ten 839 mil movida 474,semig,10,positivo
ho na carteira eu tenho banco do brasil 970 7.000 eh semig tem,banco do brasil,10,neutro
deu eu gosto muito de banco do brasil gosto muito de tauros e,banco do brasil,10,positivo
 olha para tauros armas e banco do brasil eh o que que mais,banco do brasil,10,neutro
mil movida 474 mos 444 b3 370.000 boa safra 350 uhum se voce fosse pegar dessas,B3,10,neutro
alinhada que um itau um bradesco mas a previ e o governo precisam de dividendos e,Bradesco,10,neutro
industria por exemplo itau e bradesco ta o preco sobre lucro deles assim e uma coisa,Bradesco,10,neutro
do brasil com itau e bradesco o o p de banco do brasil ta quatro itau,Bradesco,10,neutro
ta quatro itau ta oito bradesco ta nove significa que em 4 anos caso nada mude,Bradesco,10,neutro
mais barato que t i bradesco quando a gente olha para isso dividend yield 10% entao,Bradesco,10,neutro
da acao e o 5.6 bradesco 7.2 o roy o roy do banco do brasil brasil,Bradesco,10,neutro
a gente quer comprar na b3 ne que e basicamente a bolsa de valores voce pode,B3,10,neutro
eu quero saber codigo de petrobras a is vai ate aqui e petro 4 ta vendo,Petrobras,10,neutro
grande essas large caps ne petrobras vale itau ate banco do brasil ne voces viram como,Petrobras,10,neutro
tenho algumas posicoes aqui o banco do brasil b3 soja etc ne como,banco do brasil,11,positivo
uma posicao muito levante em banco do brasil agora tem uma posicao bem,banco do brasil,11,positivo
de proventos no mes passado banco do brasil pagou muito bem 18 mil,banco do brasil,12,positivo
vamos olhar agora para acoes banco do brasil minha maior posicao em acoes ,banco do brasil,12,positivo
eu tenho 1.2 milhoes no banco do brasil cara o brasil tem quatro,banco do brasil,12,positivo
